"job_id","job_title","salary_year_avg","job_posted_date","copmany_name","skills"
474745,"SO Data Analyst","75550.0","2023-12-07 20:53:14","Bosch Group","sap"
724033,"Web / Data Analyst","74368.5","2023-12-29 15:19:00","DEPT®","javascript"
724033,"Web / Data Analyst","74368.5","2023-12-29 15:19:00","DEPT®","html"
724033,"Web / Data Analyst","74368.5","2023-12-29 15:19:00","DEPT®","css"
78932,"P2265 - Senior Clinical Data Manager","72900.0","2023-01-05 03:55:08","Debiopharm","gcp"
822487,"(Junior) Data Analyst","70500.0","2023-11-23 08:30:54","Vattenfall","matlab"
822487,"(Junior) Data Analyst","70500.0","2023-11-23 08:30:54","Vattenfall","excel"
822487,"(Junior) Data Analyst","70500.0","2023-11-23 08:30:54","Vattenfall","power bi"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","sql"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","python"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","scala"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","java"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","databricks"
169765,"Databricks Internship | Interview Questions & Salary Details","67000.0","2023-12-28 17:19:54","Databricks","spark"
752908,"Strategic Insight & Business Intelligence Specialist","64800.0","2023-12-12 13:47:24","Japan Tobacco International","excel"
